donor_id,donation_count,total_donations,average_donation,days_since_last_donation,donations_last_30_days,donations_last_90_days,donations_last_365_days,campaign_count
DNR-04322,3,215.52,71.84,196.0,0,0,1,3
DNR-04323,1,180.77,180.77,150.0,0,0,1,1
DNR-04324,8,7182.56,897.82,81.0,0,1,2,8
DNR-04325,11,3499.07,318.1,25.0,1,1,3,11
DNR-04326,3,104.86,34.95,7.0,1,2,2,3
DNR-04327,4,569.39,142.35,478.0,0,0,0,4
DNR-04328,2,27.61,13.8,51.0,0,1,2,2
DNR-04329,2,2744.75,1372.38,5.0,1,1,1,2
DNR-04330,7,3287.6,469.66,125.0,0,0,5,7
DNR-04331,4,624.58,156.14,504.0,0,0,0,4
DNR-04332,3,2481.01,827.0,16.0,1,1,3,3
DNR-04333,4,686.19,171.55,20.0,1,2,4,4
DNR-04334,5,760.74,152.15,306.0,0,0,2,5
DNR-04335,6,91141.8,15190.3,60.0,0,1,3,5
DNR-04336,6,2629.9,438.32,130.0,0,0,5,6
DNR-04337,5,595.36,119.07,505.0,0,0,0,5
DNR-04338,6,2967.33,494.56,38.0,0,1,2,6
DNR-04339,6,2732.72,455.45,171.0,0,0,1,6
DNR-04340,6,362.66,60.44,91.0,0,0,1,6
DNR-04341,3,190.43,63.48,225.0,0,0,1,3
DNR-04342,6,1408.46,234.74,301.0,0,0,1,5
DNR-04343,3,18988.42,6329.47,209.0,0,0,1,3
DNR-04344,3,198.44,66.15,18.0,1,2,2,3
DNR-04345,7,973.56,139.08,554.0,0,0,0,7
DNR-04346,4,345.49,86.37,10.0,2,4,4,3
DNR-04347,4,1275.5,318.88,25.0,1,4,4,4
DNR-04348,9,1187.97,132.0,102.0,0,0,6,9
DNR-04349,6,40137.55,6689.59,60.0,0,1,2,6
DNR-04350,5,3032.58,606.52,63.0,0,1,1,5
DNR-04351,8,115709.9,14463.74,72.0,0,1,1,8
DNR-04352,5,831.18,166.24,72.0,0,1,4,5
DNR-04353,4,1315.23,328.81,75.0,0,1,1,4
DNR-04354,7,2047.54,292.51,21.0,1,3,7,7
DNR-04355,7,43922.5,6274.64,17.0,1,1,6,6
DNR-04356,3,154.1,51.37,90.0,0,1,3,3
DNR-04357,7,770.94,110.13,67.0,0,2,7,7
DNR-04358,8,2735.7,341.96,39.0,0,1,3,7
DNR-04359,5,27611.59,5522.32,8.0,1,1,1,5
DNR-04360,1,45.01,45.01,158.0,0,0,1,1
DNR-04361,9,6430.88,714.54,75.0,0,1,3,9
DNR-04362,2,98.87,49.44,963.0,0,0,0,2
DNR-04363,6,110880.46,18480.08,508.0,0,0,0,6
DNR-04364,8,2828.84,353.6,240.0,0,0,2,8
DNR-04365,6,1562.17,260.36,51.0,0,3,6,6
DNR-04366,2,16893.18,8446.59,802.0,0,0,0,2
DNR-04367,6,3492.6,582.1,7.0,1,2,6,6
DNR-04368,6,927.36,154.56,11.0,1,3,6,6
DNR-04369,5,536.42,107.28,180.0,0,0,1,5
DNR-04370,4,900.96,225.24,35.0,0,1,4,4
DNR-04371,3,42117.8,14039.27,276.0,0,0,2,3
DNR-04372,4,829.08,207.27,45.0,0,1,3,4
DNR-04373,1,44.88,44.88,110.0,0,0,1,1
DNR-04374,9,1463.47,162.61,142.0,0,0,3,9
DNR-04375,4,3129.66,782.42,44.0,0,2,4,4
DNR-04376,2,134.63,67.32,509.0,0,0,0,2
DNR-04377,5,2497.24,499.45,66.0,0,2,4,5
DNR-04378,2,152.39,76.19,137.0,0,0,1,2
DNR-04379,6,2340.8,390.13,248.0,0,0,1,5
DNR-04380,6,828.66,138.11,755.0,0,0,0,6
DNR-04381,9,3074.06,341.56,152.0,0,0,1,9
DNR-04382,1,56.11,56.11,665.0,0,0,0,1
DNR-04383,5,549.39,109.88,19.0,1,1,2,4
DNR-04384,2,81.83,40.92,53.0,0,1,2,2
DNR-04385,7,1123.52,160.5,333.0,0,0,1,7
DNR-04386,6,2266.89,377.82,28.0,1,1,4,6
DNR-04387,7,1925.11,275.02,10.0,1,5,7,7
DNR-04388,6,2352.01,392.0,39.0,0,1,5,6
DNR-04389,7,1088.7,155.53,4.0,1,3,7,7
DNR-04390,3,919.22,306.41,89.0,0,1,2,3
DNR-04391,5,672.24,134.45,75.0,0,1,1,5
DNR-04392,4,732.11,183.03,59.0,0,1,1,4
DNR-04393,5,708.14,141.63,85.0,0,1,5,5
DNR-04394,3,21333.31,7111.1,256.0,0,0,1,3
DNR-04395,3,16785.72,5595.24,24.0,1,1,3,3
DNR-04396,5,1953.59,390.72,23.0,1,2,3,5
DNR-04397,3,284.09,94.7,312.0,0,0,2,3
DNR-04398,6,611.88,101.98,161.0,0,0,1,6
DNR-04399,6,2233.52,372.25,157.0,0,0,3,6
DNR-04400,6,3114.41,519.07,311.0,0,0,1,6
DNR-04401,9,782.72,86.97,100.0,0,0,2,9
DNR-04402,6,599.99,100.0,0.0,1,1,4,5
DNR-04403,4,2130.32,532.58,168.0,0,0,2,4
DNR-04404,7,2116.46,302.35,40.0,0,1,4,6
DNR-04405,7,2521.08,360.15,5.0,4,7,7,7
DNR-04406,8,4129.65,516.21,11.0,1,3,7,8
DNR-04407,8,2049.28,256.16,19.0,1,1,2,7
DNR-04408,1,12.54,12.54,657.0,0,0,0,1
DNR-04409,1,33.79,33.79,564.0,0,0,0,1
DNR-04410,3,61491.72,20497.24,207.0,0,0,2,3
DNR-04411,3,212.74,70.91,112.0,0,0,1,3
DNR-04412,4,241.15,60.29,151.0,0,0,1,4
DNR-04413,5,758.41,151.68,6.0,1,1,2,5
DNR-04414,9,39985.3,4442.81,11.0,2,3,5,9
DNR-04415,6,436.38,72.73,147.0,0,0,5,6
DNR-04416,4,528.17,132.04,64.0,0,1,3,4
DNR-04417,1,115.04,115.04,1304.0,0,0,0,1
DNR-04418,3,212.4,70.8,166.0,0,0,3,3
DNR-04419,3,100843.18,33614.39,2.0,1,3,3,3
DNR-04420,5,224.65,44.93,268.0,0,0,2,5
DNR-04421,3,537.0,179.0,184.0,0,0,2,3
DNR-04422,7,595.74,85.11,68.0,0,1,7,7
DNR-04423,6,351.0,58.5,103.0,0,0,6,6
DNR-04424,7,576.86,82.41,128.0,0,0,6,7
DNR-04425,4,437.52,109.38,296.0,0,0,1,4
DNR-04426,6,287.91,47.98,9.0,4,5,6,6
DNR-04427,2,151.78,75.89,34.0,0,1,2,2
DNR-04428,3,97.11,32.37,85.0,0,1,1,3
DNR-04429,6,1318.54,219.76,24.0,1,1,5,6
DNR-04430,10,2421.15,242.11,13.0,1,4,10,10
DNR-04431,1,9140.15,9140.15,22.0,1,1,1,1
DNR-04432,6,931.04,155.17,240.0,0,0,2,6
DNR-04433,5,25549.53,5109.91,13.0,3,5,5,5
DNR-04434,3,263.29,87.76,3.0,1,1,2,3
DNR-04435,4,693.95,173.49,503.0,0,0,0,4
DNR-04436,4,215.94,53.98,38.0,0,2,2,4
DNR-04437,4,26175.01,6543.75,132.0,0,0,4,4
DNR-04438,7,1502.9,214.7,48.0,0,1,3,7
DNR-04439,5,560.19,112.04,22.0,1,1,5,5
DNR-04440,6,1841.91,306.98,466.0,0,0,0,6
DNR-04441,4,488.08,122.02,7.0,1,2,2,4
DNR-04442,7,940.85,134.41,9.0,2,7,7,6
DNR-04443,7,1431.12,204.45,144.0,0,0,2,7
DNR-04444,3,475.39,158.46,1.0,3,3,3,3
DNR-04445,5,531.46,106.29,273.0,0,0,1,4
DNR-04446,5,857.92,171.58,126.0,0,0,2,4
DNR-04447,9,1628.04,180.89,0.0,2,3,9,8
DNR-04448,7,1010.12,144.3,39.0,0,2,5,7
DNR-04449,4,18226.6,4556.65,140.0,0,0,2,4
DNR-04450,6,38060.76,6343.46,19.0,1,2,4,6
DNR-04451,3,560.34,186.78,631.0,0,0,0,2
DNR-04452,9,1712.03,190.23,234.0,0,0,1,9
DNR-04453,4,836.54,209.14,119.0,0,0,1,4
DNR-04454,7,1240.47,177.21,233.0,0,0,2,7
DNR-04455,5,323.18,64.64,425.0,0,0,0,4
DNR-04456,2,91.59,45.8,258.0,0,0,1,2
DNR-04457,7,830.84,118.69,0.0,1,3,7,7
DNR-04458,5,255.55,51.11,6.0,2,5,5,5
DNR-04459,5,1780.62,356.12,12.0,2,3,5,5
DNR-04460,4,337.05,84.26,0.0,3,4,4,4
DNR-04461,4,978.82,244.7,512.0,0,0,0,4
DNR-04462,7,1701.23,243.03,171.0,0,0,3,7
DNR-04463,8,1707.88,213.48,3.0,1,2,6,8
DNR-04464,6,1774.82,295.8,100.0,0,0,1,5
DNR-04465,4,597.22,149.3,80.0,0,1,2,4
DNR-04466,6,505.39,84.23,286.0,0,0,2,6
DNR-04467,5,187.43,37.49,125.0,0,0,4,5
DNR-04468,6,432.18,72.03,157.0,0,0,1,6
DNR-04469,4,2561.23,640.31,17.0,1,2,3,4
DNR-04470,2,281.05,140.52,85.0,0,1,2,2
DNR-04471,3,125.97,41.99,289.0,0,0,1,3
DNR-04472,9,2974.54,330.5,15.0,1,2,6,9
DNR-04473,7,4639.04,662.72,159.0,0,0,1,7
DNR-04474,1,439.26,439.26,335.0,0,0,1,1
DNR-04475,3,1013.14,337.71,326.0,0,0,1,3
DNR-04476,3,2549.59,849.86,101.0,0,0,2,3
DNR-04477,6,2959.45,493.24,255.0,0,0,1,6
DNR-04478,2,86.03,43.02,687.0,0,0,0,2
DNR-04479,5,1670.81,334.16,15.0,1,3,5,5
DNR-04480,5,1993.83,398.77,183.0,0,0,5,5
DNR-04481,3,1802.42,600.81,723.0,0,0,0,3
DNR-04482,2,118.84,59.42,6.0,1,2,2,2
DNR-04483,3,289.69,96.56,137.0,0,0,3,3
DNR-04484,5,315.6,63.12,123.0,0,0,1,4
DNR-04485,2,10200.99,5100.5,93.0,0,0,1,2
DNR-04486,4,15135.29,3783.82,23.0,1,2,2,4
DNR-04487,12,2687.77,223.98,32.0,0,1,1,11
DNR-04488,4,1074.99,268.75,152.0,0,0,1,4
DNR-04489,5,1558.75,311.75,135.0,0,0,4,5
DNR-04490,1,1713.9,1713.9,238.0,0,0,1,1
DNR-04491,5,2347.22,469.44,47.0,0,1,3,4
DNR-04492,7,845.6,120.8,52.0,0,1,4,7
DNR-04493,4,1853.67,463.42,47.0,0,1,4,3
DNR-04494,4,2444.17,611.04,743.0,0,0,0,4
DNR-04495,5,458.82,91.76,25.0,2,2,5,5
DNR-04496,5,388.19,77.64,33.0,0,4,5,5
DNR-04497,5,2440.69,488.14,49.0,0,1,5,5
DNR-04498,8,1129.49,141.19,21.0,1,2,8,8
DNR-04499,5,4219.41,843.88,140.0,0,0,3,4
DNR-04500,6,1940.88,323.48,73.0,0,1,6,6
DNR-04501,4,318.52,79.63,26.0,1,1,2,4
DNR-04502,4,2754.85,688.71,49.0,0,1,1,4
DNR-04503,5,31375.84,6275.17,1.0,1,5,5,3
DNR-04504,2,558.24,279.12,255.0,0,0,1,2
DNR-04505,5,1025.39,205.08,1.0,3,5,5,4
DNR-04506,4,25991.27,6497.82,170.0,0,0,1,4
DNR-04507,3,531.61,177.2,82.0,0,3,3,3
DNR-04508,6,1632.42,272.07,129.0,0,0,3,6
DNR-04509,4,2522.89,630.72,74.0,0,1,2,4
DNR-04510,9,3514.19,390.47,4.0,2,5,9,9
DNR-04511,3,436.25,145.42,1137.0,0,0,0,3
DNR-04512,2,111.08,55.54,553.0,0,0,0,2
DNR-04513,5,2006.93,401.39,462.0,0,0,0,5
DNR-04514,4,2950.06,737.52,37.0,0,1,4,4
DNR-04515,2,1242.2,621.1,121.0,0,0,2,2
DNR-04516,1,22.93,22.93,399.0,0,0,0,1
DNR-04517,4,207.58,51.9,106.0,0,0,4,4
DNR-04518,6,1481.56,246.93,15.0,1,2,3,6
DNR-04519,6,412.35,68.73,131.0,0,0,2,6
DNR-04520,3,16037.14,5345.71,920.0,0,0,0,3
DNR-04521,3,46083.5,15361.17,764.0,0,0,0,3
DNR-04522,4,254.58,63.64,31.0,0,2,4,4
DNR-04523,4,2175.0,543.75,337.0,0,0,1,4
DNR-04524,2,211.45,105.72,77.0,0,1,2,2
DNR-04525,3,9033.45,3011.15,25.0,1,1,2,3
DNR-04526,5,589.1,117.82,17.0,1,4,5,5
DNR-04527,3,803.65,267.88,92.0,0,0,2,3
DNR-04528,5,359.04,71.81,408.0,0,0,0,5
DNR-04529,4,419.58,104.9,158.0,0,0,3,4
DNR-04530,7,174620.51,24945.79,4.0,2,6,7,7
DNR-04531,5,32480.47,6496.09,180.0,0,0,2,5
DNR-04532,4,191.75,47.94,253.0,0,0,1,4
DNR-04533,2,10110.01,5055.0,835.0,0,0,0,2
DNR-04534,3,2587.86,862.62,422.0,0,0,0,3
DNR-04535,3,553.06,184.35,40.0,0,3,3,3
DNR-04536,8,1417.65,177.21,97.0,0,0,3,8
DNR-04537,3,162.4,54.13,10.0,1,2,3,3
DNR-04538,5,1308.31,261.66,107.0,0,0,1,5
DNR-04539,4,312.32,78.08,76.0,0,1,4,4
DNR-04540,4,196.87,49.22,106.0,0,0,3,4
DNR-04541,3,195.53,65.18,38.0,0,1,1,3
DNR-04542,3,164.23,54.74,30.0,1,3,3,3
DNR-04543,7,92677.64,13239.66,90.0,0,1,3,7
DNR-04544,1,94.1,94.1,208.0,0,0,1,1
DNR-04545,6,70142.18,11690.36,168.0,0,0,5,6
DNR-04546,5,479.99,96.0,383.0,0,0,0,5
DNR-04547,7,4254.61,607.8,454.0,0,0,0,6
DNR-04548,4,16181.81,4045.45,594.0,0,0,0,4
DNR-04549,7,3769.77,538.54,110.0,0,0,2,7
DNR-04550,6,44024.94,7337.49,22.0,1,4,6,6
DNR-04551,5,244.17,48.83,31.0,0,3,5,5
DNR-04552,6,543.19,90.53,210.0,0,0,1,6
DNR-04553,4,22815.42,5703.86,59.0,0,2,2,3
DNR-04554,7,2699.94,385.71,26.0,1,1,4,7
DNR-04555,3,1373.04,457.68,26.0,1,2,2,3
DNR-04556,3,17527.35,5842.45,256.0,0,0,3,3
DNR-04557,7,820.34,117.19,6.0,3,6,7,7
DNR-04558,5,2186.02,437.2,795.0,0,0,0,5
DNR-04559,6,534.59,89.1,54.0,0,1,6,6
DNR-04560,4,2029.36,507.34,290.0,0,0,1,4
DNR-04561,7,350.25,50.04,220.0,0,0,3,6
DNR-04562,4,223.32,55.83,1148.0,0,0,0,4
DNR-04563,4,818.89,204.72,154.0,0,0,4,4
DNR-04564,5,3198.18,639.64,117.0,0,0,2,5
DNR-04565,4,1961.3,490.32,109.0,0,0,3,4
DNR-04566,5,238.52,47.7,1111.0,0,0,0,5
DNR-04567,5,625.97,125.19,621.0,0,0,0,5
DNR-04568,2,475.29,237.64,126.0,0,0,2,2
DNR-04569,2,229.76,114.88,96.0,0,0,2,2
DNR-04570,8,1279.65,159.96,10.0,1,3,8,8
DNR-04571,5,278.18,55.64,65.0,0,1,1,5
DNR-04572,6,4595.5,765.92,47.0,0,2,6,6
DNR-04573,6,37976.21,6329.37,458.0,0,0,0,6
DNR-04574,3,203.07,67.69,48.0,0,2,3,3
DNR-04575,3,1183.28,394.43,255.0,0,0,2,3
DNR-04576,2,232.52,116.26,836.0,0,0,0,2
DNR-04577,8,1967.28,245.91,88.0,0,1,3,8
DNR-04578,7,1428.86,204.12,211.0,0,0,2,7
DNR-04579,4,159.1,39.78,273.0,0,0,2,4
DNR-04580,5,535.32,107.06,213.0,0,0,2,5
DNR-04581,7,2511.67,358.81,180.0,0,0,2,7
DNR-04582,5,730.37,146.07,226.0,0,0,2,5
DNR-04583,3,261.14,87.05,36.0,0,1,3,3
DNR-04584,5,667.26,133.45,222.0,0,0,2,5
DNR-04585,6,1004.8,167.47,16.0,1,1,6,6
DNR-04586,5,657.44,131.49,41.0,0,2,4,4
DNR-04587,4,18894.64,4723.66,247.0,0,0,1,4
DNR-04588,6,1358.54,226.42,164.0,0,0,4,5
DNR-04589,7,2817.98,402.57,4.0,3,6,7,7
DNR-04590,5,657.7,131.54,185.0,0,0,2,5
DNR-04591,8,1494.12,186.76,4.0,1,1,5,8
DNR-04592,7,2552.43,364.63,22.0,1,3,7,7
DNR-04593,6,871.51,145.25,49.0,0,1,6,6
DNR-04594,5,348.52,69.7,31.0,0,2,4,5
DNR-04595,1,259.56,259.56,81.0,0,1,1,1
DNR-04596,7,922.43,131.78,29.0,1,5,7,6
DNR-04597,5,778.07,155.61,304.0,0,0,1,5
DNR-04598,5,825.77,165.15,49.0,0,3,5,5
DNR-04599,6,199210.57,33201.76,112.0,0,0,3,6
DNR-04600,5,1005.22,201.04,1.0,2,4,5,5
DNR-04601,6,557.9,92.98,237.0,0,0,1,6
DNR-04602,8,2299.82,287.48,6.0,3,8,8,7
DNR-04603,8,1547.63,193.45,0.0,6,8,8,8
DNR-04604,4,2021.88,505.47,136.0,0,0,4,4
DNR-04605,10,451.93,45.19,139.0,0,0,4,9
DNR-04606,6,173853.78,28975.63,223.0,0,0,1,6
DNR-04607,3,2796.88,932.29,6.0,1,1,1,3
DNR-04608,4,629.4,157.35,4.0,1,4,4,4
DNR-04609,5,83103.94,16620.79,136.0,0,0,2,5
DNR-04610,5,449.8,89.96,30.0,1,1,4,5
DNR-04611,7,3821.92,545.99,76.0,0,1,6,7
DNR-04612,5,1278.05,255.61,119.0,0,0,4,5
DNR-04613,1,393.39,393.39,366.0,0,0,0,1
DNR-04614,4,1641.37,410.34,137.0,0,0,3,4
DNR-04615,4,1627.61,406.9,103.0,0,0,1,4
DNR-04616,4,146.51,36.63,54.0,0,1,2,4
DNR-04617,4,518.49,129.62,443.0,0,0,0,4
DNR-04618,2,2345.59,1172.79,3.0,1,1,2,2
DNR-04619,7,1591.95,227.42,134.0,0,0,2,7
DNR-04620,11,781.44,71.04,12.0,2,5,11,11
DNR-04621,6,1115.53,185.92,97.0,0,0,4,6
DNR-04622,3,493.19,164.4,174.0,0,0,1,3
DNR-04623,6,764.36,127.39,21.0,1,3,6,6
DNR-04624,7,1238.11,176.87,39.0,0,2,6,6
DNR-04625,8,1843.9,230.49,362.0,0,0,1,8
DNR-04626,5,1106.45,221.29,57.0,0,1,1,4
DNR-04627,8,42608.03,5326.0,315.0,0,0,1,8
DNR-04628,4,17436.29,4359.07,301.0,0,0,2,4
DNR-04629,4,51818.82,12954.71,69.0,0,4,4,4
DNR-04630,2,75.78,37.89,601.0,0,0,0,2
DNR-04631,7,1380.43,197.2,15.0,1,1,3,7
DNR-04632,2,441.47,220.74,359.0,0,0,1,2
DNR-04633,5,110710.99,22142.2,79.0,0,1,3,5
DNR-04634,2,181.23,90.62,57.0,0,1,1,2
DNR-04635,7,653.85,93.41,355.0,0,0,1,7
DNR-04636,9,41036.37,4559.6,12.0,1,2,2,9
DNR-04637,8,469.17,58.65,2.0,4,8,8,7
DNR-04638,5,1084.22,216.84,97.0,0,0,3,4
DNR-04639,7,613.4,87.63,43.0,0,1,5,5
DNR-04640,6,775.83,129.3,90.0,0,1,4,6
DNR-04641,3,288.76,96.25,575.0,0,0,0,3
DNR-04642,2,18847.28,9423.64,638.0,0,0,0,2
DNR-04643,9,4594.28,510.48,29.0,1,2,7,8
DNR-04644,6,434.78,72.46,2.0,1,1,5,6
DNR-04645,7,1162.94,166.13,221.0,0,0,1,7
DNR-04646,5,2147.84,429.57,402.0,0,0,0,5
DNR-04647,6,5384.39,897.4,3.0,2,4,6,5
DNR-04648,3,196.11,65.37,1.0,1,2,3,3
DNR-04649,5,30909.15,6181.83,106.0,0,0,2,5
DNR-04650,9,1547.27,171.92,136.0,0,0,2,8
DNR-04651,7,607.89,86.84,293.0,0,0,1,7
DNR-04652,5,1794.2,358.84,292.0,0,0,1,3
DNR-04653,1,87.4,87.4,284.0,0,0,1,1
DNR-04654,2,110.95,55.47,294.0,0,0,1,2
DNR-04655,7,41054.53,5864.93,266.0,0,0,1,7
DNR-04656,6,1957.34,326.22,11.0,2,6,6,6
DNR-04657,5,362.78,72.56,434.0,0,0,0,5
DNR-04658,4,267.21,66.8,137.0,0,0,1,4
DNR-04659,4,226.98,56.74,455.0,0,0,0,4
DNR-04660,2,131.46,65.73,344.0,0,0,1,2
DNR-04661,8,658.41,82.3,399.0,0,0,0,8
DNR-04662,5,385.9,77.18,74.0,0,1,5,5
DNR-04663,3,75375.08,25125.03,1103.0,0,0,0,3
DNR-04664,10,116716.4,11671.64,133.0,0,0,3,10
DNR-04665,3,642.9,214.3,197.0,0,0,1,3
DNR-04666,5,994.71,198.94,288.0,0,0,1,5
DNR-04667,6,4211.85,701.98,41.0,0,2,6,6
DNR-04668,8,28434.36,3554.3,180.0,0,0,1,8
DNR-04669,6,872.23,145.37,16.0,1,3,6,6
DNR-04670,5,707.1,141.42,178.0,0,0,1,5
DNR-04671,4,349.76,87.44,56.0,0,1,1,4
DNR-04672,3,295.09,98.36,127.0,0,0,2,3
DNR-04673,8,676.91,84.61,2.0,4,8,8,8
DNR-04674,2,300.46,150.23,351.0,0,0,1,2
DNR-04675,4,414.74,103.68,19.0,1,1,2,4
DNR-04676,3,1026.21,342.07,114.0,0,0,3,3
DNR-04677,6,28421.86,4736.98,133.0,0,0,3,6
DNR-04678,5,297.89,59.58,140.0,0,0,3,4
DNR-04679,5,233.5,46.7,35.0,0,1,3,5
DNR-04680,7,1040.66,148.67,157.0,0,0,1,7
DNR-04681,5,2243.56,448.71,37.0,0,1,5,5
DNR-04682,8,467.54,58.44,16.0,2,2,7,8
DNR-04683,5,895.69,179.14,15.0,2,5,5,5
DNR-04684,9,1047.03,116.34,29.0,1,1,2,9
DNR-04685,3,360.68,120.23,516.0,0,0,0,3
DNR-04686,6,2141.6,356.93,336.0,0,0,1,6
DNR-04687,3,176.47,58.82,113.0,0,0,2,2
DNR-04688,3,1765.01,588.34,260.0,0,0,3,3
DNR-04689,5,19837.12,3967.42,207.0,0,0,1,5
DNR-04690,5,136440.58,27288.12,7.0,2,3,5,5
DNR-04691,2,182.31,91.16,209.0,0,0,2,2
DNR-04692,7,906.96,129.57,64.0,0,1,5,7
DNR-04693,6,621.58,103.6,68.0,0,1,2,6
DNR-04694,8,1248.59,156.07,87.0,0,1,4,7
DNR-04695,6,1349.2,224.87,30.0,1,2,5,6
DNR-04696,1,70.23,70.23,84.0,0,1,1,1
DNR-04697,5,589.74,117.95,46.0,0,1,1,5
DNR-04698,5,712.98,142.6,7.0,1,1,5,5
DNR-04699,6,27516.73,4586.12,19.0,1,5,6,6
DNR-04700,4,71136.24,17784.06,51.0,0,1,2,4
DNR-04701,6,264.31,44.05,85.0,0,1,1,6
DNR-04702,3,9336.32,3112.11,157.0,0,0,3,3
DNR-04703,3,77163.73,25721.24,68.0,0,1,3,3
DNR-04704,5,721.57,144.31,588.0,0,0,0,5
DNR-04705,5,192.59,38.52,182.0,0,0,2,5
DNR-04706,4,565.36,141.34,277.0,0,0,2,4
DNR-04707,8,46247.43,5780.93,142.0,0,0,4,8
DNR-04708,6,1793.77,298.96,230.0,0,0,1,6
DNR-04709,6,2684.53,447.42,46.0,0,2,5,6
DNR-04710,1,34.83,34.83,4.0,1,1,1,1
DNR-04711,4,301.65,75.41,21.0,1,1,4,4
DNR-04712,6,881.66,146.94,129.0,0,0,2,6
DNR-04713,5,27265.67,5453.13,211.0,0,0,1,5
DNR-04714,6,24026.71,4004.45,789.0,0,0,0,6
DNR-04715,2,372.28,186.14,148.0,0,0,2,2
DNR-04716,5,695.27,139.05,62.0,0,4,5,4
DNR-04717,7,413.11,59.02,44.0,0,1,7,7
DNR-04718,5,2188.94,437.79,151.0,0,0,4,5
DNR-04719,8,966.2,120.78,108.0,0,0,3,7
DNR-04720,5,1994.73,398.95,244.0,0,0,1,5
DNR-04721,5,2201.8,440.36,8.0,2,3,5,5
DNR-04722,7,2177.98,311.14,246.0,0,0,2,7
DNR-04723,3,213.67,71.22,531.0,0,0,0,3
DNR-04724,2,1698.32,849.16,46.0,0,1,2,2
DNR-04725,3,478.43,159.48,63.0,0,2,3,3
DNR-04726,5,2743.15,548.63,48.0,0,1,1,5
DNR-04727,3,165.0,55.0,139.0,0,0,3,3
DNR-04728,7,2959.53,422.79,18.0,1,2,6,7
DNR-04729,1,45.65,45.65,986.0,0,0,0,1
DNR-04730,7,2281.42,325.92,39.0,0,1,3,7
DNR-04731,3,20855.02,6951.67,194.0,0,0,1,3
DNR-04732,4,21975.67,5493.92,81.0,0,1,4,4
DNR-04733,6,102048.67,17008.11,486.0,0,0,0,6
DNR-04734,8,1386.23,173.28,12.0,1,2,4,7
DNR-04735,6,768.75,128.12,333.0,0,0,1,6
DNR-04736,3,172.16,57.39,33.0,0,1,2,3
DNR-04737,10,857.45,85.74,21.0,1,2,8,10
DNR-04738,2,97.18,48.59,374.0,0,0,0,2
DNR-04739,4,359.29,89.82,76.0,0,1,4,4
DNR-04740,4,473.7,118.43,50.0,0,1,4,4
DNR-04741,5,745.65,149.13,256.0,0,0,2,5
DNR-04742,6,1601.19,266.86,188.0,0,0,1,5
DNR-04743,7,1050.88,150.13,98.0,0,0,3,6
DNR-04744,7,3380.02,482.86,452.0,0,0,0,7
DNR-04745,8,1547.77,193.47,101.0,0,0,2,8
DNR-04746,6,2513.25,418.88,23.0,1,1,6,6
DNR-04747,2,111.61,55.8,360.0,0,0,1,2
DNR-04748,3,412.64,137.55,692.0,0,0,0,3
DNR-04749,2,175.2,87.6,1058.0,0,0,0,2
DNR-04750,5,2557.77,511.55,4.0,4,5,5,5
DNR-04751,4,417.15,104.29,43.0,0,1,1,4
DNR-04752,4,32241.25,8060.31,32.0,0,1,2,4
DNR-04753,5,347.63,69.53,114.0,0,0,1,5
DNR-04754,6,68655.42,11442.57,48.0,0,1,6,6
DNR-04755,1,62.4,62.4,210.0,0,0,1,1
DNR-04756,3,190.84,63.61,39.0,0,1,3,3
DNR-04757,4,31677.29,7919.32,44.0,0,1,3,4
DNR-04758,6,2619.03,436.5,34.0,0,4,6,6
DNR-04759,4,2110.17,527.54,61.0,0,1,4,4
DNR-04760,3,379.44,126.48,1048.0,0,0,0,3
DNR-04761,7,777.76,111.11,215.0,0,0,1,7
DNR-04762,3,378.62,126.21,169.0,0,0,1,2
DNR-04763,4,2620.12,655.03,19.0,1,1,2,4
DNR-04764,3,520.42,173.47,53.0,0,1,3,3
DNR-04765,7,2500.1,357.16,476.0,0,0,0,7
DNR-04766,6,311.38,51.9,314.0,0,0,1,6
DNR-04767,5,685.44,137.09,214.0,0,0,1,5
DNR-04768,6,1382.13,230.36,37.0,0,1,1,6
DNR-04769,8,1012.8,126.6,89.0,0,1,1,7
DNR-04770,7,992.76,141.82,319.0,0,0,2,7
DNR-04771,7,736.14,105.16,75.0,0,1,7,7
DNR-04772,8,2816.31,352.04,59.0,0,1,3,8
DNR-04773,6,729.39,121.56,4.0,4,6,6,6
DNR-04774,3,205.89,68.63,192.0,0,0,3,3
DNR-04775,3,2448.44,816.15,37.0,0,1,1,3
DNR-04776,3,8142.58,2714.19,283.0,0,0,1,3
DNR-04777,7,29744.92,4249.27,6.0,2,7,7,7
DNR-04778,9,3561.31,395.7,235.0,0,0,2,9
DNR-04779,7,2111.28,301.61,95.0,0,0,2,7
DNR-04780,2,549.97,274.98,120.0,0,0,2,2
DNR-04781,5,264.38,52.88,527.0,0,0,0,5
DNR-04782,2,506.23,253.12,402.0,0,0,0,2
DNR-04783,2,212.79,106.4,529.0,0,0,0,2
DNR-04784,7,34840.54,4977.22,1.0,3,7,7,6
DNR-04785,5,383.61,76.72,497.0,0,0,0,5
DNR-04786,7,524.85,74.98,45.0,0,1,7,7
DNR-04787,5,223.53,44.71,98.0,0,0,2,5
DNR-04788,7,2751.69,393.1,43.0,0,1,2,7
DNR-04789,7,2374.48,339.21,85.0,0,1,5,7
DNR-04790,5,224.62,44.92,77.0,0,1,5,5
